rung  WNS      delta   worst startpoint -> endpoint
 145   -1.326  +0.004   DcachePlugin_logic_valids_1_70_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 146   -1.325  +0.001   LsEuPlugin_logic_p4Ctx_fwdHit_reg/C -> LsEuPlugin_logic_p4Ctx_fwdStall_reg/D
 147   -1.324  +0.001   DcachePlugin_logic_valids_3_76_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 148   -1.324  +0.000   RobPlugin_logic_faultedStore_58_reg/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
 149   -1.324  +0.000   DcachePlugin_logic_valids_1_88_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 150   -1.322  +0.002   DcachePlugin_logic_victimWay_reg[1]/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 151   -1.321  +0.001   _zz_DecodeStage_logic_fed_payload_specs_1_spec_op_reg[0]/C -> DecodeStage_logic_stashUops_2_indexScale_reg[0]/R
 152   -1.320  +0.001   DcachePlugin_logic_valids_3_70_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 153   -1.318  +0.002   DcachePlugin_logic_valids_1_80_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 154   -1.317  +0.001   DcachePlugin_logic_valids_1_71_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 155   -1.317  +0.000   FetchAlignPlugin_logic_ftqMem_reg_0_31_14_27/RAMD_D1/CLK -> FetchAlignPlugin_logic_p0LiveReg_lenWords_reg[2]/D
 156   -1.315  +0.002   FetchAlignPlugin_logic_ibuf/entries_19_pred_lenWords_reg[1]/C -> FetchAlignPlugin_logic_ftqMismatchPcReg_reg[17]/CE
 157   -1.312  +0.003   IssueQueuePlugin_logic_lines_1_ways_1_sel_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[14]/D
 158   -1.310  +0.002   RobPlugin_logic_head_reg[3]_rep__5/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
 159   -1.309  +0.001   RobPlugin_logic_faultedStore_40_reg/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
 160   -1.307  +0.002   RobPlugin_logic_faultedStore_41_reg/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
 161   -1.307  +0.000   FetchAlignPlugin_logic_ftqMem_reg_0_31_14_27/RAMF_D1/CLK -> FetchAlignPlugin_logic_p0LiveReg_lenWords_reg[2]/D
 162   -1.305  +0.002   RobPlugin_logic_completes_42_reg/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
 163   -1.304  +0.001   AluEuPlugin_logic_s1X_reg/C -> RobPlugin_logic_nzvcValStore_44_reg[2]/D
 164   -1.301  +0.003   RobPlugin_logic_faultedStore_34_reg/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
 165   -1.298  +0.003   RobPlugin_logic_faultedStore_38_reg/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
 166   -1.297  +0.001   LsEuPlugin_logic_alignedMem_3_vaddr_reg[14]/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 167   -1.297  +0.000   RobPlugin_logic_faultedStore_6_reg/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
 168   -1.295  +0.002   DcachePlugin_logic_valids_3_92_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 169   -1.295  +0.000   LsEuPlugin_logic_p4Ctx_xlate_front_twoAccess_reg/C -> LsEuPlugin_logic_p4Ctx_fwdStall_reg/D
 170   -1.295  +0.000   DcachePlugin_logic_missFault_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 171   -1.295  +0.000   DcachePlugin_logic_valids_2_111_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 172   -1.295  +0.000   RobPlugin_logic_head_reg[1]_rep__5/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
 173   -1.294  +0.001   AluEuPlugin_logic_s1Src1_1_reg[0]/C -> BranchEuPlugin_logic_s1Index_reg[5]/D
 174   -1.294  +0.000   DcachePlugin_logic_valids_1_87_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 175   -1.292  +0.002   FetchAlignPlugin_logic_ftqMem_reg_0_31_14_27/RAMD/CLK -> FetchAlignPlugin_logic_p0LiveReg_lenWords_reg[2]/D
 176   -1.291  +0.001   DcachePlugin_logic_valids_1_0_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 177   -1.290  +0.001   RobPlugin_logic_completes_63_reg/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
 178   -1.289  +0.001   RobPlugin_logic_faultedStore_36_reg/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
 179   -1.288  +0.001   FetchAlignPlugin_logic_ftqMem_reg_0_31_14_27/RAME_D1/CLK -> FetchAlignPlugin_logic_p0LiveReg_lenWords_reg[2]/D
 180   -1.284  +0.004   DcachePlugin_logic_valids_3_81_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
